A,B,C,D,E,F,G,H,I,J,K,L
1,19591,15240,12188,11994,18750,15219,17751,12222,12042,18780,False
9,19587,15302,12180,12000,18825,15104,17826,12195,12020,18737,False
17,19583,15277,12205,12007,18737,15025,17875,12170,12000,18773,False
25,19583,15360,12178,11991,18807,14957,17806,12206,12023,18740,False
33,19582,15365,12180,11985,18734,14891,17874,12179,12003,18812,False
41,19578,15354,12196,11995,18852,14786,17789,12208,12019,18839,False
49,19576,15433,12174,11979,18722,14704,17939,12157,11980,18719,False
57,19574,15406,12196,11991,18798,14652,17901,12164,11979,18766,False
65,19575,15386,12208,11989,18766,14556,17921,12169,11982,18796,False
73,19576,15380,12210,11983,18762,14492,17854,12180,11987,18788,False
81,19563,15500,12172,11958,18829,14407,17918,12165,11973,18813,False
89,19556,15556,12164,11944,18771,14303,17903,12180,11970,18836,False
97,19538,15540,12184,11960,18863,14196,17923,12168,11968,18838,False
105,19526,15469,12220,11973,18707,14121,17833,12193,11977,18708,False
113,19515,15573,12196,11948,18743,14021,17811,12202,11971,18797,False
121,19500,15514,12229,11971,18820,13936,17929,12165,11948,18744,False
129,19481,15580,12219,11952,18769,13825,17929,12165,11935,18741,False
137,19471,15666,12187,11923,18784,13757,17782,12216,11969,18799,False
145,19450,15731,12179,11919,18768,13657,17844,12193,11951,18806,False
153,19425,15798,12169,11909,18766,13564,17864,12179,11941,18769,False
161,19408,15775,12193,11912,18811,13461,17875,12181,11934,18825,False
169,19391,15778,12197,11911,18763,13378,17910,12169,11917,18774,False
177,19365,15778,12217,11922,18755,13275,17881,12187,11929,18800,False
185,19347,15856,12194,11902,18840,13220,17819,12198,11938,18755,False
193,19331,15822,12212,11913,18861,13148,17880,12177,11916,18860,False
201,19311,15803,12228,11926,18819,13062,17859,12186,11926,18797,False
209,19291,15917,12192,11904,18878,12993,17920,12163,11903,18791,False
217,19263,15859,12217,11913,18799,12901,17925,12164,11907,18865,False
225,19241,15958,12185,11891,18782,12829,17811,12206,11930,18733,False
233,19216,15888,12229,11931,18811,12745,17805,12200,11924,18787,False
241,19184,16056,12166,11882,18781,12650,17851,12188,11929,18798,False
249,19153,15989,12203,11907,18807,12564,17973,12152,11904,18790,False
257,19121,16022,12196,11898,18769,12454,17809,12201,11931,18801,False
265,19106,16050,12189,11894,18759,12404,17940,12164,11905,18762,False
273,19091,16102,12176,11890,18801,12353,17923,12157,11907,18789,False
281,19064,16091,12192,11903,18760,12270,17789,12205,11942,18802,False
289,19038,16085,12197,11911,18797,12186,17845,12177,11923,18807,False
297,19007,16155,12176,11900,18750,12101,17832,12183,11930,18742,False
305,18985,16126,12187,11908,18791,12031,17856,12175,11931,18824,False
313,18936,16190,12174,11909,18856,11876,17863,12173,11936,18864,False
321,18901,16267,12145,11897,18826,11758,17757,12207,11961,18816,False
329,18868,16222,12163,11912,18805,11692,17782,12206,11969,18826,False
337,18826,16180,12179,11931,18741,11563,17759,12210,11979,18770,False
345,18795,16101,12219,11961,18762,11465,17925,12152,11941,18755,False
353,18747,16008,12235,11989,18754,11322,17903,12175,11975,18781,False
361,18703,16095,12194,11974,18829,11235,17729,12225,12013,18834,False
369,18664,16078,12200,11975,18819,11109,17982,12149,11965,18813,False
377,18619,16125,12183,11968,18817,11078,17961,12151,11937,18738,True
385,18587,16138,12173,11972,18762,11135,17859,12179,11957,18765,True
393,18554,16203,12145,11961,18728,11190,17909,12164,11955,18768,True
401,18536,15975,12231,12016,18749,11217,17932,12158,11956,18726,True
409,18511,16064,12183,11988,18702,11251,17948,12160,11961,18730,True
417,18469,15946,12219,12019,18723,11336,17754,12213,11995,18707,True
425,18427,15901,12237,12036,18763,11434,17875,12175,11982,18746,True
433,18395,16071,12161,11991,18800,11493,17949,12155,11967,18787,True
441,18373,15873,12227,12033,18741,11523,17793,12197,11996,18769,True
449,18344,15908,12207,12018,18739,11588,17973,12140,11951,18849,True
457,18302,15953,12169,11989,18780,11677,17957,12151,11962,18800,True
465,18273,15856,12187,11997,18747,11755,17925,12159,11959,18764,True
