timestamp,PLC1_IR0,PLC1_IR1,PLC1_IR2,PLC1_IR3,PLC1_IR4,PLC1_IR5,PLC1_C0,PLC1_C1,PLC1_C2,PLC1_C3,PLC1_C4,PLC1_C5,PLC1_C6,PLC1_DR0,PLC1_DR1,PLC1_DR2,PLC1_DR3,PLC1_DR4,PLC1_DR5,PLC2_IR0,PLC2_IR1,PLC2_IR2,PLC2_IR3,PLC2_IR4,PLC2_IR5,PLC2_C0,PLC2_C1,PLC2_C2,PLC2_C3,PLC2_C4,PLC2_C5,PLC2_C6,PLC2_C7,PLC2_C10,PLC2_DR0,PLC2_DR1,PLC2_DR2,PLC2_DR3,PLC2_DR4,PLC2_DR5
1768573264.9333375,26266,19591,15240,12188,11994,18750,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15219,17751,12222,12042,18780,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573265.3108883,26266,19593,15186,12219,12020,18750,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15188,17746,12217,12032,18768,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573265.7208977,26266,19593,15186,12219,12020,18750,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15188,17746,12217,12032,18768,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573266.4843404,26266,19594,15314,12163,11981,18701,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15171,17925,12163,11997,18725,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573268.1935623,26266,19594,15287,12177,11994,18731,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15155,17894,12176,12004,18728,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573268.7135854,26266,19593,15294,12185,11998,18813,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15138,17904,12169,12001,18712,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573269.7053597,26266,19590,15188,12224,12028,18812,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15121,17981,12139,11980,18729,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573270.387872,26266,19590,15188,12224,12028,18812,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15104,17826,12195,12020,18737,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573271.1898963,26266,19587,15302,12180,12000,18825,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15104,17826,12195,12020,18737,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573271.570388,26266,19587,15302,12180,12000,18825,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15104,17826,12195,12020,18737,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573272.133549,26266,19585,15217,12216,12024,18799,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15085,17877,12182,12011,18822,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573272.7700756,26266,19585,15217,12216,12024,18799,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15085,17877,12182,12011,18822,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573273.44612,26266,19583,15335,12178,11991,18747,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15065,17875,12175,12004,18798,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573273.9140341,26266,19583,15335,12178,11991,18747,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15065,17875,12175,12004,18798,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573274.351441,26266,19583,15244,12211,12016,18741,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15045,17831,12185,12016,18784,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573274.8092232,26266,19583,15244,12211,12016,18741,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15045,17831,12185,12016,18784,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573275.3331048,26266,19583,15277,12205,12007,18737,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,15025,17875,12170,12000,18773,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573276.1609814,26266,19583,15277,12205,12007,18737,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14991,17728,12226,12042,18747,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573276.693582,26266,19583,15253,12211,12009,18725,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14991,17728,12226,12042,18747,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573277.364293,26266,19583,15253,12211,12009,18725,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14974,17878,12178,12003,18708,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573277.7450097,26266,19583,15229,12218,12014,18792,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14974,17878,12178,12003,18708,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573278.246767,26266,19583,15229,12218,12014,18792,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14974,17878,12178,12003,18708,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573278.5934095,26266,19583,15360,12178,11991,18807,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14957,17806,12206,12023,18740,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573279.1203234,26266,19583,15360,12178,11991,18807,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14957,17806,12206,12023,18740,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573279.4214652,26266,19583,15360,12178,11991,18807,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14957,17806,12206,12023,18740,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573279.7795303,26266,19583,15285,12202,12002,18783,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14941,17848,12180,12001,18769,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573280.1947174,26266,19583,15285,12202,12002,18783,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14941,17848,12180,12001,18769,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573280.668156,26266,19583,15285,12202,12002,18783,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14924,17854,12181,12004,18784,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573281.1088724,26266,19584,15222,12234,12025,18796,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14924,17854,12181,12004,18784,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573281.6934373,26266,19584,15222,12234,12025,18796,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14907,17818,12197,12016,18797,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573282.1614501,26266,19583,15361,12181,11986,18722,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14907,17818,12197,12016,18797,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573282.5513206,26266,19583,15361,12181,11986,18722,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14907,17818,12197,12016,18797,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573283.0389092,26266,19582,15365,12180,11985,18734,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14891,17874,12179,12003,18812,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573283.8490803,26266,19582,15365,12180,11985,18734,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14874,17881,12171,11996,18731,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573284.9018698,26266,19580,15401,12171,11981,18732,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14874,17881,12171,11996,18731,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573285.541878,26266,19580,15265,12227,12024,18721,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14856,17977,12142,11973,18707,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573286.222972,26266,19580,15265,12227,12024,18721,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14838,17917,12162,11993,18726,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573287.2843368,26266,19579,15464,12143,11960,18845,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14803,17883,12171,11998,18729,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573287.8037152,26266,19578,15433,12157,11970,18836,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14803,17883,12171,11998,18729,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573288.2750492,26266,19578,15433,12157,11970,18836,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14803,17883,12171,11998,18729,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573288.7193534,26266,19578,15354,12196,11995,18852,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14786,17789,12208,12019,18839,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573289.3631094,26266,19578,15354,12196,11995,18852,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14770,17905,12168,11988,18831,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573290.2371361,26266,19578,15251,12239,12027,18751,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14770,17905,12168,11988,18831,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573290.936669,26266,19578,15262,12240,12021,18756,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14753,17842,12183,12002,18837,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573291.5649521,26266,19578,15262,12240,12021,18756,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14737,17845,12183,11998,18845,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573292.2955072,26266,19577,15470,12157,11968,18746,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14737,17845,12183,11998,18845,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573292.881565,26266,19576,15433,12174,11979,18722,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14721,17701,12236,12040,18736,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573293.367366,26266,19576,15433,12174,11979,18722,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14721,17701,12236,12040,18736,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573293.7732737,26266,19576,15433,12174,11979,18722,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14704,17939,12157,11980,18719,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573294.2337737,26266,19574,15428,12178,11983,18746,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14704,17939,12157,11980,18719,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573294.758003,26266,19574,15428,12178,11983,18746,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14704,17939,12157,11980,18719,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573295.5611255,26266,19574,15386,12202,11994,18800,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14686,17981,12141,11974,18722,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573295.8427057,26266,19574,15386,12202,11994,18800,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14669,17897,12167,11990,18742,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573296.3947005,26266,19574,15399,12196,11992,18789,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14669,17897,12167,11990,18742,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573297.0525517,26266,19574,15399,12196,11992,18789,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14669,17897,12167,11990,18742,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573297.447264,26266,19574,15406,12196,11991,18798,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14652,17901,12164,11979,18766,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573297.8990648,26266,19574,15406,12196,11991,18798,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14652,17901,12164,11979,18766,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
