A,B,C,D,E,F,G,H,I,J
1764361302.9803329,56,True,False,False,17,False,2,False,False
1764361305.790687,58,True,False,False,16,False,2,False,False
1764361309.3520646,61,True,False,False,16,False,2,False,False
1764361312.7775233,63,True,False,False,15,False,2,False,False
1764361315.6347218,65,True,False,False,15,False,2,False,False
1764361319.7952254,67,True,False,False,14,False,2,False,False
1764361322.6637034,69,True,False,False,14,False,2,False,False
1764361325.1073458,71,True,False,False,13,False,2,False,False
1764361328.0107298,73,True,False,False,13,False,2,False,False
1764361331.3300402,75,True,False,False,13,False,2,False,False
1764361335.1499577,77,True,False,False,12,False,2,False,False
1764361338.5415854,80,False,False,False,12,False,2,False,False
1764361341.508539,80,False,False,False,11,False,2,False,False
1764361344.3183148,80,False,False,False,14,False,0,False,False
1764361347.8241854,80,False,False,False,13,False,0,False,False
1764361350.3456745,80,False,False,False,13,False,0,False,False
1764361353.2435262,80,False,False,False,12,False,0,False,False
1764361356.8817692,80,False,False,False,12,False,0,False,False
1764361359.8257453,80,False,False,False,12,False,0,False,False
1764361364.831911,80,False,False,False,11,False,0,False,False
1764361367.5707054,80,False,False,False,11,False,0,False,False
1764361370.7803662,80,False,False,False,10,True,0,False,False
1764361374.2294636,79,False,True,True,10,True,0,False,False
1764361378.2400799,77,False,True,True,13,True,0,False,False
1764361381.7157793,75,False,True,True,14,True,0,False,False
1764361384.4734437,73,False,True,True,15,True,0,False,False
1764361387.8218484,71,False,True,True,16,True,0,False,False
1764361391.45077,69,False,True,True,18,True,1,False,False
1764361394.1237984,68,False,True,True,19,True,1,False,False
1764361397.0596511,66,False,True,True,20,False,1,False,False
1764361400.349336,66,False,False,False,20,False,1,False,False
1764361403.248668,66,False,False,False,19,False,1,False,False
1764361406.067042,66,False,False,False,19,False,1,False,False
1764361408.8293905,66,False,False,False,19,False,1,False,False
1764361412.2238388,66,False,False,False,18,False,1,False,False
1764361414.7867134,66,False,False,False,18,False,1,False,False
1764361418.5628273,66,False,False,False,17,False,1,False,False
1764361421.5964398,66,False,False,False,17,False,1,False,False
1764361424.600199,66,False,False,False,16,False,1,False,False
1764361428.4204557,66,False,False,False,16,False,1,False,False
1764361432.1744883,66,False,False,False,15,False,1,False,False
1764361434.9271657,66,False,False,False,15,False,1,False,False
1764361438.9858873,66,False,False,False,14,False,1,False,False
1764361442.9261894,66,False,False,False,14,False,1,False,False
1764361446.2329624,66,False,False,False,13,False,1,False,False
1764361449.244833,66,False,False,False,13,False,1,False,False
1764361452.2679849,66,False,False,False,12,False,1,False,False
1764361455.140267,66,False,False,False,12,False,1,False,False
1764361457.5698328,66,False,False,False,12,False,2,False,False
1764361461.3384447,66,False,False,False,11,False,2,False,False
1764361465.1242766,66,False,False,False,11,False,2,False,False
1764361468.6732056,66,False,False,False,10,True,2,False,False
1764361472.2584686,66,False,True,True,10,True,2,False,False
1764361474.970891,65,False,True,True,11,True,2,False,False
1764361478.255299,63,False,True,True,12,True,2,False,False
1764361481.1305695,62,False,True,True,13,True,2,False,False
1764361483.5732098,60,False,True,True,14,True,2,False,False
1764361486.5264058,59,False,True,True,15,True,2,False,False
1764361490.1742232,57,False,True,True,17,True,2,False,False
1764361493.1873686,56,False,True,True,17,True,2,False,False
1764361495.8642166,54,False,True,True,18,True,2,False,False
1764361498.776492,53,False,True,True,19,True,2,False,False
1764361501.792193,52,False,True,True,20,False,2,False,False
1764361505.736854,51,False,False,False,20,False,2,False,False
1764361509.408912,51,False,False,False,19,False,2,False,False
1764361512.6780524,51,False,False,False,19,False,2,False,False
1764361515.8721905,51,False,False,False,18,False,2,False,False
1764361518.457865,51,False,False,False,18,False,2,False,False
1764361521.6496081,51,False,False,False,17,False,2,False,False
1764361526.9087696,51,False,False,False,17,False,2,False,False
1764361529.5148618,51,False,False,False,19,False,0,False,False
1764361532.3346772,51,False,False,False,18,False,0,False,False
1764361535.5819707,51,False,False,False,18,False,0,False,False
1764361538.208384,51,False,False,False,17,False,0,False,False
1764361541.1622097,51,False,False,False,17,False,0,False,False
1764361544.3505144,51,False,False,False,17,False,0,False,False
1764361547.901914,51,False,False,False,16,False,0,False,False
1764361551.4067793,51,False,False,False,16,False,0,False,False
1764361554.086564,51,False,False,False,15,False,0,False,False
1764361557.8504949,51,False,False,False,15,False,0,False,False
1764361560.6236386,51,False,False,False,14,False,0,False,False
1764361563.7701983,51,False,False,False,14,False,0,False,False
1764361567.2083886,51,False,False,False,13,False,0,False,False
1764361570.415334,51,False,False,False,13,False,1,False,False
1764361573.6784332,51,False,False,False,12,False,1,False,False
1764361576.688929,51,False,False,False,12,False,1,False,False
1764361579.592312,51,False,False,False,12,False,1,False,False
1764361582.1970017,51,False,False,False,11,False,1,False,False
1764361585.4869633,51,False,False,False,11,False,1,False,False
1764361588.4385638,51,False,False,False,11,False,1,False,False
1764361592.4077215,51,False,True,True,10,True,1,False,False
1764361595.745218,50,False,True,True,11,True,1,False,False
1764361599.365372,48,False,True,True,12,True,1,False,False
1764361602.9287248,47,False,True,True,13,True,1,False,False
1764361605.9055216,45,False,True,True,14,True,1,False,False
1764361609.119134,44,False,True,True,15,True,1,False,False
1764361613.1672833,42,False,True,True,16,True,1,False,False
1764361615.5162659,41,False,True,True,17,True,1,False,False
1764361618.886725,40,True,True,True,18,True,1,False,False
1764361621.4826632,41,True,True,True,19,True,1,False,False
