PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_InputRegisters_IW1,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_MemoryRegisters_MW2,PLC1_MemoryRegisters_MW3,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC1_Coils_QX03,PLC1_Coils_QX04,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_InputRegisters_IW1,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC1_Coils_QX03,prev_PLC1_Coils_QX04,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00
1,10,0,81,25,40,80,5,35,0,0,0,1,0,10,10,20,1,1,0,81,25,0,0,0,1,0,10,1
1,10,0,81,25,40,80,5,35,0,0,0,1,0,10,10,20,1,1,0,81,25,0,0,0,1,0,10,1
1,10,0,81,25,40,80,5,35,0,0,0,1,0,10,10,20,1,1,0,81,25,0,0,0,1,0,10,1
1,10,0,81,26,40,80,5,35,0,0,0,1,0,10,10,20,1,1,0,81,25,0,0,0,1,0,10,1
1,10,0,81,26,40,80,5,35,0,0,0,1,0,10,10,20,1,1,0,81,26,0,0,0,1,0,10,1
1,10,0,81,26,40,80,5,35,0,1,1,1,0,10,10,20,1,1,0,81,26,0,0,0,1,0,10,1
1,10,0,81,26,40,80,5,35,0,1,1,1,0,10,10,20,1,1,0,81,26,0,1,1,1,0,10,1
1,10,0,80,26,40,80,5,35,0,1,1,1,0,10,10,20,1,1,0,81,26,0,1,1,1,0,10,1
1,10,0,80,26,40,80,5,35,0,1,1,1,0,10,10,20,1,1,0,80,26,0,1,1,1,0,10,1
1,10,0,80,26,40,80,5,35,0,1,1,1,0,10,10,20,1,1,0,80,26,0,1,1,1,0,10,1
1,10,0,79,26,40,80,5,35,0,1,1,1,0,11,10,20,1,1,0,80,26,0,1,1,1,0,10,1
1,10,0,79,26,40,80,5,35,0,1,1,1,0,11,10,20,1,1,0,79,26,0,1,1,1,0,11,1
1,10,0,79,26,40,80,5,35,0,1,1,1,0,11,10,20,1,1,0,79,26,0,1,1,1,0,11,1
1,10,0,79,26,40,80,5,35,0,1,1,1,0,11,10,20,1,1,0,79,26,0,1,1,1,0,11,1
1,10,0,78,26,40,80,5,35,0,1,1,1,0,11,10,20,1,1,0,79,26,0,1,1,1,0,11,1
1,10,0,78,26,40,80,5,35,0,1,1,1,0,11,10,20,1,1,0,78,26,0,1,1,1,0,11,1
1,10,0,78,26,40,80,5,35,0,1,1,1,0,11,10,20,1,1,0,78,26,0,1,1,1,0,11,1
