PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00
1,10,0,81,40,80,0,0,0,10,10,20,1,1,0,81,0,0,0,10,1
1,10,0,81,40,80,0,0,0,10,10,20,1,1,0,81,0,0,0,10,1
1,10,0,81,40,80,0,0,0,10,10,20,1,1,0,81,0,0,0,10,1
1,10,0,81,40,80,0,0,0,10,10,20,1,1,0,81,0,0,0,10,1
1,10,0,81,40,80,0,0,0,10,10,20,1,1,0,81,0,0,0,10,1
1,10,0,81,40,80,0,1,1,10,10,20,1,1,0,81,0,0,0,10,1
1,10,0,81,40,80,0,1,1,10,10,20,1,1,0,81,0,1,1,10,1
1,10,0,80,40,80,0,1,1,10,10,20,1,1,0,81,0,1,1,10,1
1,10,0,80,40,80,0,1,1,10,10,20,1,1,0,80,0,1,1,10,1
1,10,0,80,40,80,0,1,1,10,10,20,1,1,0,80,0,1,1,10,1
1,10,0,79,40,80,0,1,1,11,10,20,1,1,0,80,0,1,1,10,1
1,10,0,79,40,80,0,1,1,11,10,20,1,1,0,79,0,1,1,11,1
1,10,0,79,40,80,0,1,1,11,10,20,1,1,0,79,0,1,1,11,1
1,10,0,79,40,80,0,1,1,11,10,20,1,1,0,79,0,1,1,11,1
1,10,0,78,40,80,0,1,1,11,10,20,1,1,0,79,0,1,1,11,1
1,10,0,78,40,80,0,1,1,11,10,20,1,1,0,78,0,1,1,11,1
1,10,0,78,40,80,0,1,1,11,10,20,1,1,0,78,0,1,1,11,1
1,10,0,78,40,80,0,1,1,11,10,20,1,1,0,78,0,1,1,11,1
1,10,0,77,40,80,0,1,1,12,10,20,1,1,0,78,0,1,1,11,1
1,10,0,77,40,80,0,1,1,12,10,20,1,1,0,77,0,1,1,12,1
1,10,0,77,40,80,0,1,1,12,10,20,1,1,0,77,0,1,1,12,1
1,10,0,76,40,80,0,1,1,12,10,20,1,1,0,77,0,1,1,12,1
1,10,0,76,40,80,0,1,1,12,10,20,1,1,0,76,0,1,1,12,1
1,10,0,76,40,80,0,1,1,12,10,20,1,1,0,76,0,1,1,12,1
1,10,0,76,40,80,0,1,1,12,10,20,1,1,0,76,0,1,1,12,1
1,10,0,75,40,80,0,1,1,12,10,20,1,1,0,76,0,1,1,12,1
1,10,0,75,40,80,0,1,1,12,10,20,1,1,0,75,0,1,1,12,1
1,10,0,75,40,80,0,1,1,13,10,20,1,1,0,75,0,1,1,12,1
1,10,0,74,40,80,0,1,1,13,10,20,1,1,0,75,0,1,1,13,1
1,10,0,74,40,80,0,1,1,13,10,20,1,1,0,74,0,1,1,13,1
1,10,0,74,40,80,0,1,1,13,10,20,1,1,0,74,0,1,1,13,1
1,10,0,73,40,80,0,1,1,13,10,20,1,1,0,74,0,1,1,13,1
1,10,0,73,40,80,0,1,1,13,10,20,1,1,0,73,0,1,1,13,1
1,10,0,73,40,80,0,1,1,13,10,20,1,1,0,73,0,1,1,13,1
1,10,0,73,40,80,0,1,1,13,10,20,1,1,0,73,0,1,1,13,1
1,10,0,72,40,80,0,1,1,13,10,20,1,1,0,73,0,1,1,13,1
1,10,0,72,40,80,0,1,1,13,10,20,1,1,0,72,0,1,1,13,1
1,10,0,72,40,80,0,1,1,14,10,20,1,1,0,72,0,1,1,13,1
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,72,0,1,1,14,1
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1
1,10,0,70,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1
1,10,0,70,40,80,0,1,1,14,10,20,1,1,0,70,0,1,1,14,1
1,10,0,70,40,80,0,1,1,14,10,20,1,1,0,70,0,1,1,14,1
1,10,0,70,40,80,0,1,1,14,10,20,1,1,0,70,0,1,1,14,1
1,10,0,69,40,80,0,1,1,14,10,20,1,1,0,70,0,1,1,14,1
1,10,0,69,40,80,0,1,1,15,10,20,1,1,0,69,0,1,1,14,1
1,10,0,69,40,80,0,1,1,15,10,20,1,1,0,69,0,1,1,15,1
1,10,0,68,40,80,0,1,1,15,10,20,1,1,0,69,0,1,1,15,1
1,10,0,68,40,80,0,1,1,15,10,20,1,1,0,68,0,1,1,15,1
1,10,0,68,40,80,0,1,1,15,10,20,1,1,0,68,0,1,1,15,1
1,10,0,68,40,80,0,1,1,15,10,20,1,1,0,68,0,1,1,15,1
1,10,0,67,40,80,0,1,1,15,10,20,1,1,0,68,0,1,1,15,1
1,10,0,67,40,80,0,1,1,15,10,20,1,1,0,67,0,1,1,15,1
1,10,0,67,40,80,0,1,1,15,10,20,1,1,0,67,0,1,1,15,1
1,10,0,67,40,80,0,1,1,16,10,20,1,1,0,67,0,1,1,15,1
1,10,0,66,40,80,0,1,1,16,10,20,1,1,0,67,0,1,1,16,1
1,10,0,66,40,80,0,1,1,16,10,20,1,1,0,66,0,1,1,16,1
1,10,0,66,40,80,0,1,1,16,10,20,1,1,0,66,0,1,1,16,1
1,10,0,66,40,80,0,1,1,16,10,20,1,1,0,66,0,1,1,16,1
